,scenario,run,acc,f1_score,auroc
0,df_to_dp_wal_6,0,0.4950,0.3300,0.8755
1,df_to_dp_wal_7,0,0.5000,0.3345,0.7936
2,df_to_dp_wal_8,0,0.4900,0.3509,0.6116
3,df_to_dp_wal_9,0,0.4850,0.3243,0.8179
4,df_to_dp_wal_10,0,0.5000,0.3414,0.7781
5,df_to_dp_wal_11,0,0.2900,0.1638,0.7353
6,df_to_dp_wal_12,0,0.4950,0.3301,0.7715
7,df_to_dp_wal_13,0,0.4550,0.3069,0.6533
8,df_to_dp_wal_14,0,0.4700,0.3130,0.7238
9,df_to_dp_wal_15,0,0.3900,0.2558,0.6574
10,df_to_dp_wal_16,0,0.4850,0.3347,0.7435
11,df_to_dp_wal_17,0,0.5000,0.3334,0.7933
12,df_to_dp_wal_18,0,0.5000,0.3343,0.8134
13,df_to_dp_wal_19,0,0.4583,0.3315,0.7716
14,df_to_dp_wal_20,0,0.5000,0.3363,0.6614
15,mean,-,0.4676,0.3147,0.7467
16,std,-,0.0571,0.0472,0.0735
